Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
1,matched,Agentic uncertainty quantification,Agentic Uncertainty Quantification,"Jiaxin Zhang, Prafulla Kumar Choubey, Kung-Hsiang Huang, Caiming Xiong, and Chien-Sheng Wu",Jiaxin Zhang; Prafulla Kumar Choubey; Kung-Hsiang Huang; Caiming Xiong; Chien-Sheng Wu,2026,2026/01/22; 2026/01/22,"arXiv preprint arXiv:2601.15703, 2026.",arXiv preprint,https://arxiv.org/abs/2601.15703,reachable,
2,matched,The value of variance: Mitigating debate collapse in multi-agent systems via uncertainty-driven policy optimization,The Value of Variance: Mitigating Debate Collapse in Multi-Agent Systems via Uncertainty-Driven Policy Optimization,"Luoxi Tang, Yuqiao Meng, J. Costa, Yingxue Zhang, Muchao Ye, and Zhaohan Xi",Luoxi Tang; Yuqiao Meng; Joseph Costa; Yingxue Zhang; Muchao Ye; Zhaohan Xi,2026,2026/02/06; 2026/02/06,"ArXiv, abs/2602.07186, 2026.",arXiv preprint,https://arxiv.org/abs/2602.07186,reachable,
3,differences,Agentic abstention: Do agents know when to stop instead of act?,Agentic Abstention: Do Agents Know When to Stop Instead of Act?,"Hang Luo, Bingbing Wen, and Lucy Lu Wang",Han Luo; Bingbing Wen; Lucy Lu Wang,2026,2026/06/27; 2026/06/27,2026.,arXiv preprint,https://arxiv.org/abs/2606.28733,reachable,Source name forms differ for: Hang Luo. This may include spelling errors or author name variants; the source author list is shown separately.
4,matched,Uncertainty quantification for llm function-calling,Uncertainty Quantification for LLM Function-Calling,"Zihuiwen Ye, Lukas Aichberger, Michael Kirchhof, Sinead Williamson, Luca Zappella, Yarin Gal, Arno Blaas, and Adam Goli ´nski",Zihuiwen Ye; Lukas Aichberger; Michael Kirchhof; Sinead Williamson; Luca Zappella; Yarin Gal; Arno Blaas; Adam Golinski,2026,2026/04/24; 2026/04/24,"ArXiv, abs/2604.22985, 2026.",arXiv preprint,https://arxiv.org/abs/2604.22985,reachable,
5,matched,Webuncertainty: Dual-level uncertainty driven planning and reasoning for autonomous web agent,WebUncertainty: Dual-Level Uncertainty Driven Planning and Reasoning For Autonomous Web Agent,"Lingfeng Zhang, Yongan Sun, Jinpeng Hu, Hui Ma, Ying Yang, Kuien Liu, Zenglin Shi, and Meng Wang",Lingfeng Zhang; Yongan Sun; Jinpeng Hu; Hui Ma; Ying Yang; Kuien Liu; Zenglin Shi; Meng Wang,2026,2026/7,"InFindings of the Association for Computational Linguistics: ACL 2026, pages 13072–13082, 2026.",Findings of the Association for Computational Linguistics: ACL 2026,https://doi.org/10.18653/v1/2026.findings-acl.637,reachable,
6,matched,Safeground: Know when to trust gui grounding models via uncertainty calibration,SafeGround: Know When to Trust GUI Grounding Models via Uncertainty Calibration,"Qingni Wang, Yue Fan, and Xin Eric Wang",Qingni Wang; Yue Fan; Xin Eric Wang,2026,2026/02/02; 2026/02/03,"ArXiv, abs/2602.02419, 2026.",arXiv preprint,https://arxiv.org/abs/2602.02419,reachable,
7,matched,Safepath: Conformal prediction for safe llm-based autonomous navigation,SafePath: Conformal Prediction for Safe LLM-Based Autonomous Navigation,"Achref Doula, Max Mühlhäuser, and Alejandro Sánchez Guinea",Achref Doula; Max Mühlhäuser; Alejandro Sanchez Guinea,2025,2025/05/14; 2025/05/15,"ArXiv, abs/2505.09427, 2025.",arXiv preprint,https://arxiv.org/abs/2505.09427,reachable,
8,matched,Uprop: Investigating the uncertainty propagation of llms in multi-step agentic decision-making,UProp: Investigating the Uncertainty Propagation of LLMs in Multi-Step Agentic Decision-Making,"Jinhao Duan, James Diffenderfer, Sandeep Madireddy, Tianlong Chen, Bhavya Kailkhura, and Kaidi Xu",Jinhao Duan; James Diffenderfer; Sandeep Madireddy; Tianlong Chen; Bhavya Kailkhura; Kaidi Xu,2025,2025/06/20; 2025/06/20,"ArXiv, abs/2506.17419, 2025.",arXiv preprint,https://arxiv.org/abs/2506.17419,reachable,
9,matched,Critic experience bank: Self-evolving step-level confidence estimation for llm agents,Critic Experience Bank: Self-Evolving Step-Level Confidence Estimation for LLM Agents,"Yaopei Zeng, Congchao Wang, JianHang Chen, Nan Wang, Yurui Chang, and Lu Lin",Yaopei Zeng; Congchao Wang; JianHang Chen; Nan Wang; Yurui Chang; Lu Lin,2026,2026/07/14; 2026/07/14,"arXiv preprint arXiv:2607.12397, 2026.",arXiv preprint,https://arxiv.org/abs/2607.12397,reachable,
10,matched,Redact: Uncertainty-aware deferral for llm agents,ReDAct: Uncertainty-Aware Deferral for LLM Agents,"Dzianis Piatrashyn, Nikita Kotelevskii, Kirill Grishchenkov, Nikita V. Glazkov, Ivan Nasonov, Ilya Makarov, Timothy Baldwin, Preslav Nakov, Roman Vashurin, and Maxim Panov",Dzianis Piatrashyn; Nikita Kotelevskii; Kirill Grishchenkov; Nikita Glazkov; Ivan Nasonov; Ilya Makarov; Timothy Baldwin; Preslav Nakov; Roman Vashurin; Maxim Panov,2026,2026/04/08; 2026/04/08,"ArXiv, abs/2604.07036, 2026.",arXiv preprint,https://arxiv.org/abs/2604.07036,reachable,
11,matched,Proper scoring rules for agentic uncertainty quantification,Proper Scoring Rules for Agentic Uncertainty Quantification,"Suresh Raghu, Satwik Pandey, and Shashwat Pandey",Suresh Raghu; Satwik Pandey; Shashwat Pandey,2026,2026/05/23; 2026/05/23,2026.,arXiv preprint,https://arxiv.org/abs/2605.24756,reachable,
12,matched,Calibrate-then-act: Cost-aware exploration in llm agents,Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents,"Wenxuan Ding, Nicholas Tomlin, and Greg Durrett",Wenxuan Ding; Nicholas Tomlin; Greg Durrett,2026,2026/02/18; 2026/05/15,"ArXiv, abs/2602.16699, 2026.",arXiv preprint,https://arxiv.org/abs/2602.16699,reachable,
13,differences,T2po: Uncertainty-guided exploration control for stable multi-turn agentic reinforcement learning,T$^2$PO: Uncertainty-Guided Exploration Control for Stable Multi-Turn Agentic Reinforcement Learning,"Haixin Wang, Hejie Cui, Chenwei Zhang, Xin Liu, Shuowei Jin, Shijie Geng, Xin-Yu Zhang, Nasser Zalmout, Zhenyu Shi, and Yizhou Sun",Haixin Wang; Hejie Cui; Chenwei Zhang; Xin Liu; Shuowei Jin; Shijie Geng; Xinyang Zhang; Nasser Zalmout; Zhenyu Shi; Yizhou Sun,2026,2026/05/04; 2026/05/04,2026.,arXiv preprint,https://arxiv.org/abs/2605.02178,reachable,Source name forms differ for: Xin-Yu Zhang. This may include spelling errors or author name variants; the source author list is shown separately.
14,matched,Agent-brace: Decoupling beliefs from actions in long-horizon tasks via verbalized state uncertainty,Agent-BRACE: Decoupling Beliefs from Actions in Long-Horizon Tasks via Verbalized State Uncertainty,"Joykirat Singh, Zaid Khan, Archiki Prasad, Justin Chih-Yao Chen, Akshay Nambi, Hyunji Lee, Elias Stengel-Eskin, and Mohit Bansal",Joykirat Singh; Zaid Khan; Archiki Prasad; Justin Chih-Yao Chen; Akshay Nambi; Hyunji Lee; Elias Stengel-Eskin; Mohit Bansal,2026,2026/05/12; 2026/05/12,2026.,arXiv preprint,https://arxiv.org/abs/2605.11436,reachable,
15,matched,Agentic confidence calibration,Agentic Confidence Calibration,"Jiaxin Zhang, Caiming Xiong, and Chien-Sheng Wu",Jiaxin Zhang; Caiming Xiong; Chien-Sheng Wu,2026,2026/01/22; 2026/01/22,"ArXiv, abs/2601.15778, 2026.",arXiv preprint,https://arxiv.org/abs/2601.15778,reachable,
16,matched,Position: Uncertainty quantification needs reassessment for large-language model agents,Position: Uncertainty Quantification Needs Reassessment for Large-language Model Agents,"Michael Kirchhof, Gjergji Kasneci, and Enkelejda Kasneci",Michael Kirchhof; Gjergji Kasneci; Enkelejda Kasneci,2025,2025/05/28; 2025/05/28,"ArXiv, abs/2505.22655, 2025.",arXiv preprint,https://arxiv.org/abs/2505.22655,reachable,
17,differences,"A survey on uncertainty quantification of large language models: Taxonomy, open research challenges, and future directions","A Survey on Uncertainty Quantification of Large Language Models: Taxonomy, Open Research Challenges, and Future Directions","Olaoluwa Shorinwa, Zhiting Mei, Justin Lidard, Allen Z. Ren, and Anirudha Majumdar",Ola Shorinwa; Zhiting Mei; Justin Lidard; Allen Z. Ren; Anirudha Majumdar,2024,2025-9-9; 2026-2-28; 2025-9-9,"ACM Computing Surveys, 58:1 – 38, 2024.",ACM Computing Surveys,https://doi.org/10.1145/3744238,metadata-confirmed; publisher may restrict automated access,"Source name forms differ for: Olaoluwa Shorinwa. This may include spelling errors or author name variants; the source author list is shown separately. | Survey year: 2024. Selected source date year(s): 2025, 2026. Preprint and publication dates must be cited as separate versions."
18,differences,Uncertainty quantification and confidence calibration in large language models: A survey,Uncertainty Quantification and Confidence Calibration in Large Language Models: A Survey,"Xiaoou Liu, Tiejin Chen, Longchao Da, Chacha Chen, Zhen-Yu Lin, and Hua Wei",Xiaoou Liu; Tiejin Chen; Longchao Da; Chacha Chen; Zhen Lin; Hua Wei,2025,2025/03/20; 2025/06/03,"Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2, 2025.",KDD 2025,https://arxiv.org/abs/2503.15850,reachable,Source name forms differ for: Zhen-Yu Lin. This may include spelling errors or author name variants; the source author list is shown separately. | Conference and year confirmed by the conference or author publication record: KDD 2025.
